family,stage,series_code,size,ratio_nominal,ratio_actual,t2n_nm
RKH,2,RKH2,9,7.1,7.1,85100
RKH,2,RKH2,10,7.1,7.12,142000
RKH,2,RKH2,11,7.1,7.316,158000
RKH,2,RKH2,12,7.1,7.125,193000
RKH,2,RKH2,13,7.1,7.147,228000
RKH,2,RKH2,3,8.0,7.765,3300
RKH,2,RKH2,4,8.0,7.778,6600
RKH,2,RKH2,5,8.0,7.889,11100
RKH,2,RKH2,6,8.0,7.792,13400
RKH,2,RKH2,7,8.0,7.799,20100
RKH,2,RKH2,8,8.0,7.676,25300
RKH,2,RKH2,9,8.0,8.018,33400
RKH,2,RKH2,10,8.0,7.848,41800
RKH,2,RKH2,11,8.0,7.644,58700
RKH,2,RKH2,12,8.0,7.941,73100
RKH,2,RKH2,13,8.0,7.889,85100
RKH,2,RKH2,14,8.0,7.944,106000
RKH,2,RKH2,15,8.0,7.882,142000
RKH,2,RKH2,16,8.0,8.076,158000
RKH,2,RKH2,17,8.0,7.884,193000
RKH,2,RKH2,18,8.0,8.274,228000
RKH,2,RKH2,3,9.0,8.516,3300
RKH,2,RKH2,4,9.0,8.485,6600
RKH,2,RKH2,5,9.0,8.652,11100
RKH,2,RKH2,6,9.0,8.94,14300
RKH,2,RKH2,7,9.0,8.66,20100
RKH,2,RKH2,8,9.0,8.887,25300
RKH,2,RKH2,9,9.0,8.904,33400
RKH,2,RKH2,10,9.0,9.085,41800
RKH,2,RKH2,11,9.0,8.974,58700
RKH,2,RKH2,12,9.0,8.772,73100
RKH,2,RKH2,13,9.0,8.799,85100
RKH,2,RKH2,14,9.0,8.8,106000
RKH,2,RKH2,15,9.0,8.758,142000
RKH,2,RKH2,16,9.0,8.941,158000
RKH,2,RKH2,17,9.0,8.755,193000
RKH,2,RKH2,18,9.0,9.155,228000
RKH,2,RKH2,3,10.0,9.845,3300
RKH,2,RKH2,4,10.0,9.722,6200
RKH,2,RKH2,5,10.0,10.002,10400
RKH,2,RKH2,6,10.0,9.778,14300
RKH,2,RKH2,7,10.0,9.66,20100
RKH,2,RKH2,8,10.0,9.833,25300
RKH,2,RKH2,9,10.0,9.932,33400
RKH,2,RKH2,10,10.0,10.053,41800
RKH,2,RKH2,11,10.0,10.046,58700
RKH,2,RKH2,12,10.0,9.718,73100
RKH,2,RKH2,13,10.0,9.861,85100
RKH,2,RKH2,14,10.0,9.778,106000
RKH,2,RKH2,15,10.0,9.774,142000
RKH,2,RKH2,16,10.0,9.935,158000
RKH,2,RKH2,17,10.0,9.765,193000
RKH,2,RKH2,18,10.0,10.167,228000
RKH,2,RKH2,3,11.2,10.9,3300
RKH,2,RKH2,4,11.2,10.694,6200
RKH,2,RKH2,5,11.2,11.075,10500
RKH,2,RKH2,6,11.2,10.724,14300
RKH,2,RKH2,7,11.2,10.648,20100
RKH,2,RKH2,8,11.2,10.92,25300
RKH,2,RKH2,9,11.2,11.138,33400
RKH,2,RKH2,10,11.2,11.163,41800
RKH,2,RKH2,11,11.2,10.889,58700
RKH,2,RKH2,12,11.2,11.41,73100
RKH,2,RKH2,13,11.2,10.811,85100
RKH,2,RKH2,14,11.2,10.906,106000
RKH,2,RKH2,15,11.2,10.967,142000
RKH,2,RKH2,16,11.2,11.087,158000
RKH,2,RKH2,17,11.2,10.951,193000
RKH,2,RKH2,18,11.2,11.34,228000
RKH,2,RKH2,3,12.5,12.132,3300
RKH,2,RKH2,4,12.5,12.444,6600
RKH,2,RKH2,5,12.5,12.326,11100
RKH,2,RKH2,6,12.5,12.397,13400
RKH,2,RKH2,7,12.5,11.807,20100
RKH,2,RKH2,8,12.5,12.18,25300
RKH,2,RKH2,9,12.5,12.574,33400
RKH,2,RKH2,10,12.5,12.452,41800
RKH,2,RKH2,11,12.5,12.174,58700
RKH,2,RKH2,12,12.5,12.773,73100
RKH,2,RKH2,13,12.5,12.655,85100
RKH,2,RKH2,14,12.5,12.222,106000
RKH,2,RKH2,15,12.5,12.139,142000
RKH,2,RKH2,16,12.5,12.44,158000
RKH,2,RKH2,17,12.5,12.432,193000
RKH,2,RKH2,18,12.5,12.717,228000
RKH,2,RKH2,3,14.0,13.588,3300
RKH,2,RKH2,4,14.0,13.865,6600
RKH,2,RKH2,5,14.0,13.806,11100
RKH,2,RKH2,6,14.0,13.726,13400
RKH,2,RKH2,7,14.0,13.939,20100
RKH,2,RKH2,8,14.0,13.426,25300
RKH,2,RKH2,9,14.0,14.152,33400
RKH,2,RKH2,10,14.0,13.964,41800
RKH,2,RKH2,11,14.0,13.704,58700
RKH,2,RKH2,12,14.0,13.844,73100
RKH,2,RKH2,13,14.0,14.164,85100
RKH,2,RKH2,14,14.0,13.399,106000
RKH,2,RKH2,15,14.0,13.708,142000
RKH,2,RKH2,16,14.0,13.769,158000
RKH,2,RKH2,17,14.0,13.915,193000
RKH,2,RKH2,18,14.0,14.438,228000
RKH,2,RKH2,3,16.0,15.335,3300
RKH,2,RKH2,4,16.0,15.556,6600
RKH,2,RKH2,5,16.0,15.581,11100
RKH,2,RKH2,6,16.0,15.278,14300
RKH,2,RKH2,7,16.0,15.717,20100
RKH,2,RKH2,8,16.0,14.887,25200
RKH,2,RKH2,9,16.0,15.962,33400
RKH,2,RKH2,10,16.0,15.765,41800
RKH,2,RKH2,11,16.0,15.556,58700
RKH,2,RKH2,12,16.0,15.478,73100
RKH,2,RKH2,13,16.0,15.975,85100
RKH,2,RKH2,14,16.0,15.685,106000
RKH,2,RKH2,15,16.0,15.389,142000
RKH,2,RKH2,16,16.0,15.55,158000
RKH,2,RKH2,17,16.0,15.694,193000
RKH,2,RKH2,18,16.0,16.159,228000
RKH,2,RKH2,3,18.0,17.378,3300
RKH,2,RKH2,4,18.0,17.602,6200
RKH,2,RKH2,5,18.0,17.493,10400
RKH,2,RKH2,6,18.0,17.111,14300
RKH,2,RKH2,7,18.0,17.598,18800
RKH,2,RKH2,8,18.0,17.576,25300
RKH,2,RKH2,9,18.0,18.204,33400
RKH,2,RKH2,10,18.0,17.743,41800
RKH,2,RKH2,11,18.0,17.111,58700
RKH,2,RKH2,12,18.0,17.423,73100
RKH,2,RKH2,13,18.0,17.28,85100
RKH,2,RKH2,14,18.0,17.556,106000
RKH,2,RKH2,15,18.0,17.424,142000
RKH,2,RKH2,16,18.0,17.457,158000
RKH,2,RKH2,17,18.0,17.899,193000
RKH,2,RKH2,18,18.0,18.225,228000
RKH,2,RKH2,3,20.0,19.616,3300
RKH,2,RKH2,4,20.0,19.444,6500
RKH,2,RKH2,5,20.0,19.534,11100
RKH,2,RKH2,6,20.0,19.311,14300
RKH,2,RKH2,7,20.0,19.742,18800
RKH,2,RKH2,8,20.0,19.817,25300
RKH,2,RKH2,9,20.0,19.312,33400
RKH,2,RKH2,10,20.0,20.012,41800
RKH,2,RKH2,11,20.0,19.074,58700
RKH,2,RKH2,12,20.0,19.778,73100
RKH,2,RKH2,13,20.0,19.515,85100
RKH,2,RKH2,14,20.0,19.8,106000
RKH,2,RKH2,15,20.0,20.297,142000
RKH,2,RKH2,16,20.0,19.765,158000
RKH,2,RKH2,17,20.0,18.988,193000
RKH,2,RKH2,18,20.0,20.786,228000
RKH,2,RKH2,3,22.4,21.63,3300
RKH,2,RKH2,4,22.4,22.037,6200
RKH,2,RKH2,5,22.4,22.006,10800
RKH,2,RKH2,6,22.4,21.681,13400
RKH,2,RKH2,7,22.4,20.982,19600
RKH,2,RKH2,8,22.4,22.189,23800
RKH,2,RKH2,9,22.4,21.895,32800
RKH,2,RKH2,10,22.4,22.824,41800
RKH,2,RKH2,11,22.4,21.491,57700
RKH,2,RKH2,12,22.4,21.756,73100
RKH,2,RKH2,13,22.4,22.02,87100
RKH,2,RKH2,14,22.4,21.418,106000
RKH,2,RKH2,15,22.4,21.374,151000
RKH,2,RKH2,16,22.4,23.024,158000
RKH,2,RKH2,17,22.4,20.93,198000
RKH,2,RKH2,18,22.4,22.05,228000
RKH,3,RKH3,4,25.0,25.011,11500
RKH,3,RKH3,5,25.0,24.212,14200
RKH,3,RKH3,6,25.0,25.54,21500
RKH,3,RKH3,7,25.0,24.892,23800
RKH,3,RKH3,8,25.0,25.439,35300
RKH,3,RKH3,9,25.0,24.212,41800
RKH,3,RKH3,10,25.0,24.706,62900
RKH,3,RKH3,11,25.0,24.251,73100
RKH,3,RKH3,12,25.0,25.372,87100
RKH,3,RKH3,13,25.0,24.187,106000
RKH,3,RKH3,14,25.0,24.716,151000
RKH,3,RKH3,15,25.0,24.245,171000
RKH,3,RKH3,16,25.0,24.202,198000
RKH,3,RKH3,17,25.0,24.306,238000
RKH,3,RKH3,4,28.0,28.49,11500
RKH,3,RKH3,5,28.0,27.275,13800
RKH,3,RKH3,6,28.0,27.711,21500
RKH,3,RKH3,7,28.0,26.456,24800
RKH,3,RKH3,8,28.0,29.187,35300
RKH,3,RKH3,9,28.0,27.451,41200
RKH,3,RKH3,10,28.0,28.602,62900
RKH,3,RKH3,11,28.0,27.325,71800
RKH,3,RKH3,12,28.0,29.373,87100
RKH,3,RKH3,13,28.0,27.292,108000
RKH,3,RKH3,14,28.0,27.304,151000
RKH,3,RKH3,15,28.0,28.036,171000
RKH,3,RKH3,16,28.0,26.736,198000
RKH,3,RKH3,17,28.0,28.106,238000
RKH,3,RKH3,4,31.5,31.161,11500
RKH,3,RKH3,5,31.5,30.999,15300
RKH,3,RKH3,6,31.5,31.433,21500
RKH,3,RKH3,7,31.5,32.202,26900
RKH,3,RKH3,8,31.5,31.924,35300
RKH,3,RKH3,9,31.5,31.894,43400
RKH,3,RKH3,10,31.5,31.648,62900
RKH,3,RKH3,11,31.5,31.412,76400
RKH,3,RKH3,12,31.5,32.501,87100
RKH,3,RKH3,13,31.5,31.447,108000
RKH,3,RKH3,14,31.5,30.248,151000
RKH,3,RKH3,15,31.5,30.971,171000
RKH,3,RKH3,16,31.5,29.619,198000
RKH,3,RKH3,17,31.5,31.048,238000
RKH,3,RKH3,4,35.5,34.177,11500
RKH,3,RKH3,5,35.5,35.312,15300
RKH,3,RKH3,6,35.5,34.291,21500
RKH,3,RKH3,7,35.5,34.94,26900
RKH,3,RKH3,8,35.5,35.013,35300
RKH,3,RKH3,9,35.5,36.593,43400
RKH,3,RKH3,10,35.5,35.144,62900
RKH,3,RKH3,11,35.5,36.366,76400
RKH,3,RKH3,12,35.5,36.092,87100
RKH,3,RKH3,13,35.5,36.406,108000
RKH,3,RKH3,14,35.5,35.514,151000
RKH,3,RKH3,15,35.5,34.311,171000
RKH,3,RKH3,16,35.5,34.776,198000
RKH,3,RKH3,17,35.5,34.397,238000
RKH,3,RKH3,4,40.0,39.508,11500
RKH,3,RKH3,5,40.0,38.622,15300
RKH,3,RKH3,6,40.0,39.292,21500
RKH,3,RKH3,7,40.0,39.633,26900
RKH,3,RKH3,8,40.0,40.474,35300
RKH,3,RKH3,9,40.0,40.024,43400
RKH,3,RKH3,10,40.0,39.2,62900
RKH,3,RKH3,11,40.0,40.238,76400
RKH,3,RKH3,12,40.0,40.257,87100
RKH,3,RKH3,13,40.0,40.283,108000
RKH,3,RKH3,14,40.0,39.756,151000
RKH,3,RKH3,15,40.0,40.284,171000
RKH,3,RKH3,16,40.0,38.929,198000
RKH,3,RKH3,17,40.0,40.385,238000
RKH,3,RKH3,4,45.0,43.745,11500
RKH,3,RKH3,5,45.0,42.36,15300
RKH,3,RKH3,6,45.0,43.221,21500
RKH,3,RKH3,7,45.0,43.236,26900
RKH,3,RKH3,8,45.0,44.816,35300
RKH,3,RKH3,9,45.0,43.897,43400
RKH,3,RKH3,10,45.0,43.21,62900
RKH,3,RKH3,11,45.0,44.683,76400
RKH,3,RKH3,12,45.0,45.147,87100
RKH,3,RKH3,13,45.0,44.733,108000
RKH,3,RKH3,14,45.0,43.09,151000
RKH,3,RKH3,15,45.0,45.096,171000
RKH,3,RKH3,16,45.0,42.194,198000
RKH,3,RKH3,17,45.0,45.208,238000
RKH,3,RKH3,4,50.0,48.689,11500
RKH,3,RKH3,5,50.0,48.967,15300
RKH,3,RKH3,6,50.0,50.293,21500
RKH,3,RKH3,7,50.0,49.542,26900
RKH,3,RKH3,8,50.0,49.881,35300
RKH,3,RKH3,9,50.0,50.744,43400
RKH,3,RKH3,10,50.0,47.911,62900
RKH,3,RKH3,11,50.0,49.84,76400
RKH,3,RKH3,12,50.0,50.968,87100
RKH,3,RKH3,13,50.0,49.896,108000
RKH,3,RKH3,14,50.0,48.175,151000
RKH,3,RKH3,15,50.0,48.878,171000
RKH,3,RKH3,16,50.0,47.174,198000
RKH,3,RKH3,17,50.0,49.0,238000
RKH,3,RKH3,4,56.0,54.532,11500
RKH,3,RKH3,5,56.0,54.22,15300
RKH,3,RKH3,6,56.0,56.033,21500
RKH,3,RKH3,7,56.0,54.496,26900
RKH,3,RKH3,8,56.0,55.866,35300
RKH,3,RKH3,9,56.0,56.187,43400
RKH,3,RKH3,10,56.0,56.566,62900
RKH,3,RKH3,11,56.0,54.938,76400
RKH,3,RKH3,12,56.0,57.365,87100
RKH,3,RKH3,13,56.0,55.957,108000
RKH,3,RKH3,14,56.0,54.229,151000
RKH,3,RKH3,15,56.0,54.647,171000
RKH,3,RKH3,16,56.0,53.102,198000
RKH,3,RKH3,17,56.0,54.783,238000
RKH,3,RKH3,4,63.0,61.543,11500
RKH,3,RKH3,5,63.0,60.347,15300
RKH,3,RKH3,6,63.0,62.867,21500
RKH,3,RKH3,7,63.0,63.413,26900
RKH,3,RKH3,8,63.0,63.049,35300
RKH,3,RKH3,9,63.0,62.537,43400
RKH,3,RKH3,10,63.0,63.778,62900
RKH,3,RKH3,11,63.0,60.916,76400
RKH,3,RKH3,12,63.0,64.699,87100
RKH,3,RKH3,13,63.0,63.171,108000
RKH,3,RKH3,14,63.0,61.557,151000
RKH,3,RKH3,15,63.0,61.514,171000
RKH,3,RKH3,16,63.0,60.278,198000
RKH,3,RKH3,17,63.0,61.667,238000
RKH,3,RKH3,4,71.0,69.742,11500
RKH,3,RKH3,5,71.0,67.589,15300
RKH,3,RKH3,6,71.0,71.139,21500
RKH,3,RKH3,7,71.0,70.651,26900
RKH,3,RKH3,8,71.0,70.787,35300
RKH,3,RKH3,9,71.0,70.041,43400
RKH,3,RKH3,10,71.0,71.414,62900
RKH,3,RKH3,11,71.0,71.919,76400
RKH,3,RKH3,12,71.0,73.789,87100
RKH,3,RKH3,13,71.0,71.1,108000
RKH,3,RKH3,14,71.0,67.713,151000
RKH,3,RKH3,15,71.0,69.826,171000
RKH,3,RKH3,16,71.0,66.306,198000
RKH,3,RKH3,17,71.0,70.0,238000
RKH,3,RKH3,4,80.0,78.723,11500
RKH,3,RKH3,5,80.0,76.279,15300
RKH,3,RKH3,6,80.0,78.583,21500
RKH,3,RKH3,7,80.0,79.267,26900
RKH,3,RKH3,8,80.0,79.049,35300
RKH,3,RKH3,9,80.0,79.046,43400
RKH,3,RKH3,10,80.0,80.111,62900
RKH,3,RKH3,11,80.0,81.089,76400
RKH,3,RKH3,12,80.0,78.278,87100
RKH,3,RKH3,13,80.0,80.19,108000
RKH,3,RKH3,14,80.0,75.481,151000
RKH,3,RKH3,15,80.0,76.809,171000
RKH,3,RKH3,16,80.0,73.912,198000
RKH,3,RKH3,17,80.0,77.0,238000
RKH,3,RKH3,4,90.0,86.806,11500
RKH,3,RKH3,5,90.0,86.44,15300
RKH,3,RKH3,6,90.0,89.061,19800
RKH,3,RKH3,7,90.0,89.696,26900
RKH,3,RKH3,8,90.0,89.05,34200
RKH,3,RKH3,9,90.0,88.748,43400
RKH,3,RKH3,10,90.0,85.146,61000
RKH,3,RKH3,11,90.0,90.798,76400
RKH,3,RKH3,12,90.0,88.75,87100
RKH,3,RKH3,13,90.0,91.457,108000
RKH,3,RKH3,14,90.0,85.046,151000
RKH,3,RKH3,15,90.0,85.62,171000
RKH,3,RKH3,16,90.0,83.279,198000
RKH,3,RKH3,17,90.0,85.833,238000
RKH,3,RKH3,5,100.0,97.572,14400
RKH,3,RKH3,6,100.0,99.083,26900
RKH,3,RKH3,7,100.0,99.106,43400
RKH,3,RKH3,8,100.0,101.856,76400
RKH,3,RKH3,9,100.0,97.02,108000
RKH,3,RKH3,10,100.0,96.471,171000
RKH,3,RKH3,11,100.0,96.711,224000
