series_code,size,dim_letter,value
RKH2,4,d2,80
RKH2,4,G2,140
RKH2,4,l2,170
RKH2,4,D2,80 H7
RKH2,4,D3,85 H7
RKH2,4,D4,85
RKH2,4,G4,140
RKH2,4,G5,205
RKH2,5,a,315
RKH2,5,b,430
RKH2,5,c,100
RKH2,5,A1,97.5
RKH2,5,A2,230
RKH2,5,A3,100
RKH2,5,A4,532
RKH2,5,B1,220
RKH2,5,B2,105
RKH2,5,d6,19
RKH2,5,D5,180
RKH2,5,c1,405
RKH2,5,h,210
RKH2,5,h5,95 H7
RKH2,5,H,165
RKH2,5,m1,100 H7
RKH2,5,m3,100
RKH2,5,n1,165
RKH2,5,n2,240
RKH2,5,s,306
RKH2,5,n4,11
RKH2,5,n3,15
RKH2,5,d2,100
RKH2,5,G2,165
RKH2,5,l2,210
RKH2,5,D2,95 H7
RKH2,5,D3,100 H7
RKH2,5,D4,100
RKH2,5,G4,165
RKH2,5,G5,240
RKH2,6,a,350
RKH2,6,b,510
RKH2,6,c,145
RKH2,6,A1,97.5
RKH2,6,A2,230
RKH2,6,A3,100
RKH2,6,A4,532
RKH2,6,B1,220
RKH2,6,B2,105
RKH2,6,d6,19
RKH2,6,D5,180
RKH2,6,c1,440
RKH2,6,h,210
RKH2,6,h5,105 H7
RKH2,6,H,165
RKH2,6,m1,110 H7
RKH2,6,m3,110
RKH2,6,n1,165
RKH2,6,n2,240
RKH2,6,s,362
RKH2,6,n4,12
RKH2,6,n3,16
RKH2,6,d2,110
RKH2,6,G2,165
RKH2,6,l2,210
RKH2,6,D2,105 H7
RKH2,6,D3,110 H7
RKH2,6,D4,110
RKH2,6,G4,165
RKH2,6,G5,240
RKH2,7,a,385
RKH2,7,b,545
RKH2,7,c,130
RKH2,7,A1,114
RKH2,7,A2,280
RKH2,7,A3,140
RKH2,7,A4,622
RKH2,7,B1,260
RKH2,7,B2,120
RKH2,7,d6,24
RKH2,7,D5,215
RKH2,7,c1,500
RKH2,7,h,210
RKH2,7,h5,115 H7
RKH2,7,H,195
RKH2,7,m1,120 H7
RKH2,7,m3,120
RKH2,7,n1,195
RKH2,7,n2,280
RKH2,7,s,515
RKH2,7,n4,21
RKH2,7,n3,27
RKH2,7,d2,120
RKH2,7,G2,195
RKH2,7,l2,210
RKH2,7,D2,115 H7
RKH2,7,D3,120 H7
RKH2,7,D4,120
RKH2,7,G4,195
RKH2,7,G5,280
RKH2,8,a,430
RKH2,8,b,650
RKH2,8,c,190
RKH2,8,A1,114
RKH2,8,A2,280
RKH2,8,A3,140
RKH2,8,A4,622
RKH2,8,B1,260
RKH2,8,B2,120
RKH2,8,d6,24
RKH2,8,D5,215
RKH2,8,c1,545
RKH2,8,h,280
RKH2,8,h5,140
RKH2,8,H,622
RKH2,8,m1,650
RKH2,8,m3,260
RKH2,8,n1,120
RKH2,8,n2,190
RKH2,8,s,24
RKH2,8,n4,215
RKH2,8,n3,545
RKH2,8,d2,130
RKH2,8,G2,195
RKH2,8,l2,250
RKH2,8,D2,125 H7
RKH2,8,D3,130 H7
RKH2,8,D4,130
RKH2,8,G4,195
RKH2,8,G5,285
RKH2,9,a,925
RKH2,9,b,370
RKH2,9,c,40
RKH2,9,A1,312
RKH2,9,A2,355
RKH2,9,A3,240
RKH2,9,A4,100
RKH2,9,B1,285
RKH2,9,B2,245
RKH2,9,d6,200
RKH2,9,D5,36 H9
RKH2,9,c1,45±1.5
RKH2,9,h,320
RKH2,9,h5,155
RKH2,9,H,712
RKH2,9,m1,635
RKH2,9,m3,320
RKH2,9,n1,145
RKH2,9,n2,155
RKH2,9,s,28
RKH2,9,n4,245
RKH2,9,n3,585
RKH2,9,d2,140
RKH2,9,G2,235
RKH2,9,l2,250
RKH2,9,D2,135 H7
RKH2,9,D3,140 H7
RKH2,9,D4,145
RKH2,9,G4,235
RKH2,9,G5,330
RKH2,10,a,1025
RKH2,10,b,370
RKH2,10,c,40
RKH2,10,A1,312
RKH2,10,A2,355
RKH2,10,A3,240
RKH2,10,A4,100
RKH2,10,B1,285
RKH2,10,B2,245
RKH2,10,d6,200
RKH2,10,D5,36 H9
RKH2,10,c1,45±1.5
RKH2,10,h,320
RKH2,10,h5,165
RKH2,10,H,712
RKH2,10,m1,735
RKH2,10,m3,320
RKH2,10,n1,145
RKH2,10,n2,205
RKH2,10,s,28
RKH2,10,n4,245
RKH2,10,n3,635
RKH2,10,d2,160
RKH2,10,G2,235
RKH2,10,l2,300
RKH2,10,D2,150 H7
RKH2,10,D3,150 H7
RKH2,10,D4,155
RKH2,10,G4,235
RKH2,10,G5,350
RKH2,11,a,1105
RKH2,11,b,430
RKH2,11,c,50
RKH2,11,A1,372
RKH2,11,A2,420
RKH2,11,A3,285
RKH2,11,A4,135
RKH2,11,B1,325
RKH2,11,B2,285
RKH2,11,d6,210
RKH2,11,D5,40 H9
RKH2,11,c1,54±1.5
RKH2,11,h,380
RKH2,11,h5,200
RKH2,11,H,832
RKH2,11,m1,775
