series_code,size,dim_letter,value
RKB2,4,d2,80
RKB2,4,G2,170
RKB2,4,l2,170
RKB2,4,D2,80 H7
RKB2,4,D3,85 H7
RKB2,4,D4,85
RKB2,4,G4,170
RKB2,4,G5,235
RKB2,5,a,575
RKB2,5,b,532
RKB2,5,c,285
RKB2,5,E,180
RKB2,5,g,19
RKB2,5,A1,230
RKB2,5,A2,100
RKB2,5,B1,355
RKB2,5,c1,285
RKB2,5,D5,105
RKB2,5,d6,100
RKB2,5,e3,330
RKB2,5,G6,100
RKB2,5,h,200
RKB2,5,h5,210
RKB2,5,H,95 H7
RKB2,5,m1,200
RKB2,5,m3,100
RKB2,5,n1,200
RKB2,5,n2,275
RKB2,5,n3,16
RKB2,5,n4,14
RKB2,5,s,367
RKB2,5,d2,100
RKB2,5,G2,200
RKB2,5,l2,210
RKB2,5,D2,95 H7
RKB2,5,D3,100 H7
RKB2,5,D4,100
RKB2,5,G4,200
RKB2,5,G5,275
RKB2,6,a,610
RKB2,6,b,532
RKB2,6,c,285
RKB2,6,E,180
RKB2,6,g,19
RKB2,6,A1,230
RKB2,6,A2,100
RKB2,6,B1,435
RKB2,6,c1,285
RKB2,6,D5,105
RKB2,6,d6,145
RKB2,6,e3,365
RKB2,6,G6,110
RKB2,6,h,200
RKB2,6,h5,210
RKB2,6,H,105 H7
RKB2,6,m1,200
RKB2,6,m3,110
RKB2,6,n1,200
RKB2,6,n2,275
RKB2,6,n3,19
RKB2,6,n4,15
RKB2,6,s,418
RKB2,6,d2,110
RKB2,6,G2,200
RKB2,6,l2,210
RKB2,6,D2,105 H7
RKB2,6,D3,110 H7
RKB2,6,D4,110
RKB2,6,G4,200
RKB2,6,G5,275
RKB2,7,a,685
RKB2,7,b,622
RKB2,7,c,340
RKB2,7,E,215
RKB2,7,g,24
RKB2,7,A1,280
RKB2,7,A2,130
RKB2,7,B1,450
RKB2,7,c1,340
RKB2,7,D5,120
RKB2,7,d6,130
RKB2,7,e3,405
RKB2,7,G6,120
RKB2,7,h,235
RKB2,7,h5,210
RKB2,7,H,115 H7
RKB2,7,m1,235
RKB2,7,m3,120
RKB2,7,n1,235
RKB2,7,n2,320
RKB2,7,n3,31
RKB2,7,n4,28
RKB2,7,s,627
RKB2,7,d2,120
RKB2,7,G2,235
RKB2,7,l2,210
RKB2,7,D2,115 H7
RKB2,7,D3,120 H7
RKB2,7,D4,120
RKB2,7,G4,235
RKB2,7,G5,320
RKB2,8,a,730
RKB2,8,b,622
RKB2,8,c,340
RKB2,8,E,215
RKB2,8,g,24
RKB2,8,A1,280
RKB2,8,A2,140
RKB2,8,B1,555
RKB2,8,c1,340
RKB2,8,D5,120
RKB2,8,d6,190
RKB2,8,e3,450
RKB2,8,G6,730
RKB2,8,h,280
RKB2,8,h5,140
RKB2,8,H,622
RKB2,8,m1,555
RKB2,8,m3,340
RKB2,8,n1,120
RKB2,8,n2,190
RKB2,8,n3,450
RKB2,8,n4,215
RKB2,8,s,24
RKB2,8,d2,130
RKB2,8,G2,235
RKB2,8,l2,250
RKB2,8,D2,125 H7
RKB2,8,D3,130 H7
RKB2,8,D4,130
RKB2,8,G4,235
RKB2,8,G5,325
RKB2,9,a,820
RKB2,9,b,440
RKB2,9,c,40
RKB2,9,E,265
RKB2,9,g,172
RKB2,9,A1,310
RKB2,9,A2,325
RKB2,9,B1,270
RKB2,9,c1,48±1.5
RKB2,9,D5,36 H9
RKB2,9,d6,195
RKB2,9,e3,265
RKB2,9,G6,805
RKB2,9,h,320
RKB2,9,h5,155
RKB2,9,H,712
RKB2,9,m1,530
RKB2,9,m3,390
RKB2,9,n1,145
RKB2,9,n2,155
RKB2,9,n3,480
RKB2,9,n4,245
RKB2,9,s,28
RKB2,9,d2,140
RKB2,9,G2,270
RKB2,9,l2,250
RKB2,9,D2,135 H7
RKB2,9,D3,140 H7
RKB2,9,D4,145
RKB2,9,G4,270
RKB2,9,G5,365
RKB2,10,a,920
RKB2,10,b,440
RKB2,10,c,40
RKB2,10,E,315
RKB2,10,g,172
RKB2,10,A1,310
RKB2,10,A2,325
RKB2,10,B1,270
RKB2,10,c1,48±1.5
RKB2,10,D5,36 H9
RKB2,10,d6,195
RKB2,10,e3,265
RKB2,10,G6,855
RKB2,10,h,320
RKB2,10,h5,165
RKB2,10,H,712
RKB2,10,m1,630
RKB2,10,m3,390
RKB2,10,n1,145
RKB2,10,n2,205
RKB2,10,n3,530
RKB2,10,n4,245
RKB2,10,s,28
RKB2,10,d2,160
RKB2,10,G2,270
RKB2,10,l2,300
RKB2,10,D2,150 H7
RKB2,10,D3,150 H7
RKB2,10,D4,155
RKB2,10,G4,270
RKB2,10,G5,385
RKB2,11,a,975
RKB2,11,b,530
RKB2,11,c,50
RKB2,11,E,320
RKB2,11,g,211
RKB2,11,A1,370
RKB2,11,A2,385
RKB2,11,B1,328
RKB2,11,c1,54±1.5
RKB2,11,D5,40 H9
RKB2,11,d6,210
RKB2,11,e3,320
RKB2,11,G6,980
RKB2,11,h,380
RKB2,11,h5,190
RKB2,11,H,832
RKB2,11,m1,645
RKB2,11,m3,470
RKB2,11,n1,165
RKB2,11,n2,180
RKB2,11,n3,580
RKB2,11,n4,300
RKB2,11,s,35
RKB2,11,d2,170
RKB2,11,G2,320
RKB2,11,l2,300
RKB2,11,D2,165 H7
RKB2,11,D3,165 H7
RKB2,11,D4,170
RKB2,11,G4,320
RKB2,11,G5,450
RKB2,12,a,1130
RKB2,12,b,530
RKB2,12,c,50
RKB2,12,E,390
RKB2,12,g,211
RKB2,12,A1,370
RKB2,12,A2,385
RKB2,12,B1,328
RKB2,12,c1,54±1.5
RKB2,12,D5,40 H9
RKB2,12,d6,210
RKB2,12,e3,320
RKB2,12,G6,1050
RKB2,12,h,380
RKB2,12,h5,200
RKB2,12,H,832
RKB2,12,m1,800
RKB2,12,m3,470
RKB2,12,n1,165
RKB2,12,n2,265
RKB2,12,n3,650
RKB2,12,n4,300
RKB2,12,s,35
RKB2,12,d2,180
RKB2,12,G2,320
RKB2,12,l2,300
RKB2,12,D2,180 H7
RKB2,12,D3,180 H7
RKB2,12,D4,185
RKB2,12,G4,320
RKB2,12,G5,455
RKB2,13,a,1130
RKB2,13,A1,440
RKB2,13,A2,450
RKB2,13,b,460
RKB2,13,B1,952
RKB2,13,c1,465
RKB2,13,c,465
RKB2,13,d6,580
RKB2,13,D5,100
RKB2,13,e2,305
RKB2,13,e3,675
RKB2,13,E,340
RKB2,13,g,35
RKB2,13,h2,460
RKB2,13,G6,1130
RKB2,13,h1,450
RKB2,13,m1,465
RKB2,13,m2,465
RKB2,13,m3,580
RKB2,13,n1,100
RKB2,13,n2,305
RKB2,13,n3,675
RKB2,13,n4,340
RKB2,13,H,952
RKB2,13,h,440
RKB2,13,s,35
RKB2,13,D2,-
RKB2,13,d2,200
RKB2,13,G2,390
RKB2,13,l2,350
RKB2,13,D3,-
RKB2,13,D4,-
RKB2,13,G4,-
RKB2,13,G5,-
RKB2,14,a,1200
RKB2,14,A1,440
RKB2,14,A2,450
RKB2,14,b,460
RKB2,14,B1,952
RKB2,14,c1,605
RKB2,14,c,465
RKB2,14,d6,580
RKB2,14,D5,100
RKB2,14,e2,375
RKB2,14,e3,745
RKB2,14,E,340
RKB2,14,g,35
RKB2,14,G6,1200
RKB2,14,h1,450
RKB2,14,m2,605
RKB2,14,h2,460
RKB2,14,m1,465
RKB2,14,m3,580
RKB2,14,n1,100
RKB2,14,n2,375
RKB2,14,n3,745
RKB2,14,n4,340
RKB2,14,h,440
RKB2,14,H,952
RKB2,14,s,35
RKB2,14,d2,210
RKB2,14,G2,390
RKB2,14,l2,350
RKB2,14,D4,215
RKB2,14,D2,210 H7
RKB2,14,D3,210 H7
RKB2,14,G4,390
RKB2,14,G5,535
RKB2,15,a,1340
RKB2,15,A1,500
RKB2,15,A2,490
RKB2,15,b,500
RKB2,15,B1,1060
RKB2,15,c1,555
RKB2,15,c,555
RKB2,15,d6,670
RKB2,15,D5,120
RKB2,15,e2,365
RKB2,15,e3,805
RKB2,15,E,375
RKB2,15,g,42
RKB2,15,G6,1340
RKB2,15,h1,490
RKB2,15,m2,555
RKB2,15,h2,500
RKB2,15,m1,555
RKB2,15,m3,670
RKB2,15,n1,120
RKB2,15,n2,365
RKB2,15,n3,805
RKB2,15,n4,375
RKB2,15,h,500
RKB2,15,H,1060
RKB2,15,s,42
RKB2,15,d2,230
RKB2,15,G2,460
RKB2,15,l2,410
RKB2,15,D4,-
RKB2,15,D2,-
RKB2,15,D3,-
RKB2,15,G4,-
RKB2,15,G5,-
RKB2,16,a,1385
RKB2,16,A1,500
RKB2,16,A2,490
RKB2,16,b,500
RKB2,16,B1,1062
RKB2,16,c1,645
RKB2,16,c,555
RKB2,16,d6,670
RKB2,16,D5,120
RKB2,16,e2,410
RKB2,16,e3,850
RKB2,16,E,375
RKB2,16,g,42
RKB2,16,G6,1385
RKB2,16,h1,490
RKB2,16,h2,500
RKB2,16,m2,645
RKB2,16,m1,555
RKB2,16,m3,670
RKB2,16,n1,120
RKB2,16,n2,410
RKB2,16,n3,850
RKB2,16,n4,375
RKB2,16,h,500
RKB2,16,H,1062
RKB2,16,s,42
RKB2,16,d2,240
RKB2,16,G2,460
RKB2,16,l2,410
RKB2,16,D2,240 H7
RKB2,16,D3,240 H7
RKB2,16,D4,245
RKB2,16,G4,450
RKB2,16,G5,620
RKB2,17,a,1500
RKB2,17,A1,550
RKB2,17,A2,555
RKB2,17,b,560
RKB2,17,B1,1170
RKB2,17,c1,610
RKB2,17,c,610
RKB2,17,d6,780
RKB2,17,D5,135
RKB2,17,e2,390
RKB2,17,e3,895
RKB2,17,E,420
RKB2,17,g,48
RKB2,17,G6,1500
RKB2,17,h1,555
RKB2,17,h2,560
RKB2,17,m2,610
RKB2,17,m1,610
RKB2,17,m3,780
RKB2,17,n1,135
RKB2,17,n2,390
RKB2,17,n3,895
RKB2,17,n4,420
RKB2,17,h,550
RKB2,17,H,1170
RKB2,17,s,48
RKB2,17,d2,250
RKB2,17,G2,540
RKB2,17,l2,410
RKB2,17,D2,-
RKB2,17,D3,-
RKB2,17,D4,-
RKB2,17,G4,-
RKB2,17,G5,-
RKB2,18,a,1610
RKB2,18,A1,540
RKB2,18,A2,555
RKB2,18,b,885
RKB2,18,B1,505
RKB2,18,c1,81±2
RKB2,18,c,80
RKB2,18,d6,380
RKB2,18,D5,65 H9
RKB2,18,e2,585
RKB2,18,e3,510
RKB2,18,E,550
RKB2,18,g,356
RKB2,18,G6,1560
RKB2,18,h1,555
RKB2,18,h2,560
RKB2,18,m2,730
RKB2,18,m1,610
RKB2,18,m3,780
RKB2,18,n1,135
RKB2,18,n2,450
RKB2,18,n3,955
RKB2,18,n4,420
RKB2,18,h,550
RKB2,18,H,1170
RKB2,18,s,48
RKB2,18,d2,270
RKB2,18,G2,540
RKB2,18,l2,470
RKB2,18,D2,275 H7
RKB2,18,D3,280 H7
RKB2,18,D4,285
RKB2,18,G4,510
RKB2,18,G5,700
RKB3,4,a,530
RKB3,4,A1,200
RKB3,4,A2,50
RKB3,4,b,465
RKB3,4,B1,355
RKB3,4,d6,105
RKB3,4,D5,85
RKB3,4,e3,345
RKB3,4,E,150
RKB3,4,g,19
RKB3,4,c,28
RKB3,4,c1,180
RKB3,4,G6,80
RKB3,4,h5,170
RKB3,4,m1,140
RKB3,4,m3,85 H7
RKB3,4,n1,85
RKB3,4,n2,140
RKB3,4,n3,205
RKB3,4,n4,9
RKB3,4,h,140
RKB3,4,H,80 H7
RKB3,4,s,210
RKB3,4,d2,80
RKB3,4,G2,140
RKB3,4,l2,170
RKB3,4,D2,80 H7
RKB3,4,D3,85 H7
RKB3,4,D4,85
RKB3,4,G4,140
RKB3,4,G5,205
RKB3,5,a,605
RKB3,5,A1,230
RKB3,5,A2,80
RKB3,5,b,532
RKB3,5,B1,430
RKB3,5,d6,105
RKB3,5,D5,100
RKB3,5,e3,405
RKB3,5,E,180
RKB3,5,g,19
RKB3,5,c,28
RKB3,5,c1,220
RKB3,5,G6,100
RKB3,5,h5,210
RKB3,5,m1,165
RKB3,5,m3,100 H7
RKB3,5,n1,100
RKB3,5,n2,165
RKB3,5,n3,240
RKB3,5,n4,14
RKB3,5,h,165
RKB3,5,H,95 H7
RKB3,5,s,331
RKB3,5,d2,100
RKB3,5,G2,165
RKB3,5,l2,210
RKB3,5,D2,95 H7
RKB3,5,D3,100 H7
RKB3,5,D4,100
RKB3,5,G4,165
RKB3,5,G5,240
RKB3,6,a,640
RKB3,6,A1,230
RKB3,6,A2,80
RKB3,6,b,532
RKB3,6,B1,510
RKB3,6,d6,105
RKB3,6,D5,145
RKB3,6,e3,440
RKB3,6,E,180
RKB3,6,g,19
RKB3,6,c,28
RKB3,6,c1,220
RKB3,6,G6,110
RKB3,6,h5,210
RKB3,6,m1,165
RKB3,6,m3,110 H7
RKB3,6,n1,110
RKB3,6,n2,165
RKB3,6,n3,240
RKB3,6,n4,15
RKB3,6,h,165
RKB3,6,H,105 H7
RKB3,6,s,387
RKB3,6,d2,110
RKB3,6,G2,165
RKB3,6,l2,210
RKB3,6,D2,105 H7
RKB3,6,D3,110 H7
RKB3,6,D4,110
RKB3,6,G4,165
RKB3,6,G5,240
RKB3,7,a,720
RKB3,7,A1,280
RKB3,7,A2,120
RKB3,7,b,622
RKB3,7,B1,545
RKB3,7,d6,120
RKB3,7,D5,130
RKB3,7,e3,500
RKB3,7,E,215
RKB3,7,g,24
RKB3,7,c,35
RKB3,7,c1,260
RKB3,7,G6,120
RKB3,7,h5,210
RKB3,7,m1,195
RKB3,7,m3,120 H7
RKB3,7,n1,120
RKB3,7,n2,195
RKB3,7,n3,280
RKB3,7,n4,25
RKB3,7,h,195
RKB3,7,H,115 H7
RKB3,7,s,561
RKB3,7,d2,120
RKB3,7,G2,195
RKB3,7,l2,210
RKB3,7,D2,115 H7
RKB3,7,D3,120 H7
RKB3,7,D4,120
RKB3,7,G4,195
RKB3,7,G5,280
RKB3,8,a,765
RKB3,8,A1,280
RKB3,8,A2,10
RKB3,8,b,622
RKB3,8,B1,650
RKB3,8,d6,120
RKB3,8,D5,190
RKB3,8,e3,545
RKB3,8,E,215
RKB3,8,g,24
RKB3,8,c,35
RKB3,8,c1,260
RKB3,8,G6,130
RKB3,8,h5,250
RKB3,8,m1,195
RKB3,8,m3,130 H7
RKB3,8,n1,130
RKB3,8,n2,195
RKB3,8,n3,285
RKB3,8,n4,28
RKB3,8,h,195
RKB3,8,H,125 H7
RKB3,8,s,647
RKB3,8,d2,130
RKB3,8,G2,195
RKB3,8,l2,250
RKB3,8,D2,125 H7
RKB3,8,D3,130 H7
RKB3,8,D4,130
RKB3,8,G4,195
RKB3,8,G5,285
RKB3,9,a,845
RKB3,9,A1,320
RKB3,9,A2,125
RKB3,9,b,712
RKB3,9,B1,635
RKB3,9,d6,145
RKB3,9,D5,155
RKB3,9,e3,585
RKB3,9,E,245
RKB3,9,g,28
RKB3,9,c,40
RKB3,9,c1,320
RKB3,9,G6,845
RKB3,9,h5,125
RKB3,9,m1,635
RKB3,9,m3,320
RKB3,9,n1,145
RKB3,9,n2,155
RKB3,9,n3,585
RKB3,9,n4,245
RKB3,9,h,320
RKB3,9,H,712
RKB3,9,s,28
RKB3,9,d2,140
RKB3,9,G2,235
RKB3,9,l2,250
RKB3,9,D2,135 H7
RKB3,9,D3,140 H7
RKB3,9,D4,145
RKB3,9,G4,235
RKB3,9,G5,330
RKB3,10,a,1025
RKB3,10,A1,315
RKB3,10,A2,325
RKB3,10,b,370
RKB3,10,B1,231
RKB3,10,d6,175
RKB3,10,D5,36 H9
RKB3,10,e3,185
RKB3,10,E,500
RKB3,10,g,140
RKB3,10,c,40
RKB3,10,c1,45±1.5
RKB3,10,G6,895
RKB3,10,h5,125
RKB3,10,m1,735
RKB3,10,m3,320
RKB3,10,n1,145
RKB3,10,n2,205
RKB3,10,n3,635
RKB3,10,n4,245
RKB3,10,h,320
RKB3,10,H,712
RKB3,10,s,28
RKB3,10,d2,160
RKB3,10,G2,235
RKB3,10,l2,300
RKB3,10,D2,150 H7
RKB3,10,D3,150 H7
RKB3,10,D4,155
RKB3,10,G4,235
RKB3,10,G5,350
RKB3,11,a,1105
RKB3,11,A1,370
RKB3,11,A2,385
RKB3,11,b,430
RKB3,11,B1,263
RKB3,11,d6,190
RKB3,11,D5,40 H9
RKB3,11,e3,225
RKB3,11,E,545
RKB3,11,g,161
RKB3,11,c,50
RKB3,11,c1,54±1.5
RKB3,11,G6,1010
RKB3,11,h5,170
RKB3,11,m1,775
RKB3,11,m3,370
RKB3,11,n1,165
RKB3,11,n2,180
RKB3,11,n3,710
RKB3,11,n4,300
RKB3,11,h,380
RKB3,11,H,832
RKB3,11,s,35
RKB3,11,d2,170
RKB3,11,G2,270
RKB3,11,l2,300
RKB3,11,D2,165 H7
RKB3,11,D3,165 H7
RKB3,11,D4,170
RKB3,11,G4,270
RKB3,11,G5,400
RKB3,12,a,1260
RKB3,12,A1,370
RKB3,12,A2,385
RKB3,12,b,430
RKB3,12,B1,263
RKB3,12,d6,190
RKB3,12,D5,40 H9
RKB3,12,e3,225
RKB3,12,E,615
RKB3,12,g,161
RKB3,12,c,50
RKB3,12,c1,54±1.5
RKB3,12,G6,1080
RKB3,12,h5,160
RKB3,12,m1,930
RKB3,12,m3,370
RKB3,12,n1,165
RKB3,12,n2,265
RKB3,12,n3,780
RKB3,12,n4,300
RKB3,12,h,380
RKB3,12,H,832
RKB3,12,s,35
RKB3,12,d2,180
RKB3,12,G2,270
RKB3,12,l2,300
RKB3,12,D2,180 H7
RKB3,12,D3,180 H7
RKB3,12,D4,185
RKB3,12,G4,270
RKB3,12,G5,405
RKB3,13,a,1180
RKB3,13,A1,440
RKB3,13,b,460
RKB3,13,B1,950
RKB3,13,c1,545
RKB3,13,d6,475
RKB3,13,c,545
RKB3,13,D5,100
RKB3,13,e2,305
RKB3,13,e3,835
RKB3,13,E,340
RKB3,13,g,35
RKB3,13,A2,450
RKB3,13,G6,200
RKB3,13,h,335
RKB3,13,h2,190 H7
RKB3,13,H,335
RKB3,13,m2,195
RKB3,13,m3,335
RKB3,13,m1,190H7
RKB3,13,n1,480
RKB3,13,n2,130
RKB3,13,n3,110
RKB3,13,n4,2427
RKB3,13,s,2305
RKB3,13,h1,350
RKB3,13,d2,200
RKB3,13,G2,335
RKB3,13,D2,190 H7
RKB3,13,D3,190H7
RKB3,13,D4,195
RKB3,13,G4,335
RKB3,13,G5,480
RKB3,13,l2,350
RKB3,14,a,1250
RKB3,14,A1,440
RKB3,14,b,460
RKB3,14,B1,950
RKB3,14,c1,685
RKB3,14,d6,475
RKB3,14,c,545
RKB3,14,D5,100
RKB3,14,e2,375
RKB3,14,e3,905
RKB3,14,E,340
RKB3,14,g,35
RKB3,14,A2,450
RKB3,14,G6,210
RKB3,14,h,335
RKB3,14,h2,210 H7
RKB3,14,H,335
RKB3,14,m2,215
RKB3,14,m3,335
RKB3,14,m1,210 H7
RKB3,14,n1,480
RKB3,14,n2,140
RKB3,14,n3,115
RKB3,14,n4,2805
RKB3,14,s,2667
RKB3,14,h1,350
RKB3,14,d2,210
RKB3,14,G2,335
RKB3,14,D2,210 H7
RKB3,14,D3,210 H7
RKB3,14,D4,215
RKB3,14,G4,335
RKB3,14,G5,480
RKB3,14,l2,350
RKB3,15,a,1420
RKB3,15,A1,500
RKB3,15,b,500
RKB3,15,B1,1040
RKB3,15,c1,655
RKB3,15,d6,535
RKB3,15,c,655
RKB3,15,D5,120
RKB3,15,e2,365
RKB3,15,e3,1005
RKB3,15,E,375
RKB3,15,g,42
RKB3,15,A2,490
RKB3,15,G6,230
RKB3,15,h,380
RKB3,15,h2,230 H7
RKB3,15,H,380
RKB3,15,m2,235
RKB3,15,m3,380
RKB3,15,m1,230 H7
RKB3,15,n1,550
RKB3,15,n2,210
RKB3,15,n3,160
RKB3,15,n4,3804
RKB3,15,s,3610
RKB3,15,h1,410
RKB3,15,d2,230
RKB3,15,G2,380
RKB3,15,D2,230 H7
RKB3,15,D3,230 H7
RKB3,15,D4,235
RKB3,15,G4,380
RKB3,15,G5,550
RKB3,15,l2,410
RKB3,16,a,1470
RKB3,16,A1,500
RKB3,16,b,500
RKB3,16,B1,1040
RKB3,16,c1,745
RKB3,16,d6,535
RKB3,16,c,655
RKB3,16,D5,120
RKB3,16,e2,410
RKB3,16,e3,1050
RKB3,16,E,375
RKB3,16,g,42
RKB3,16,A2,490
RKB3,16,G6,240
RKB3,16,h,380
RKB3,16,h2,240 H7
RKB3,16,H,380
RKB3,16,m2,245
RKB3,16,m3,380
RKB3,16,m1,240 H7
RKB3,16,n1,550
RKB3,16,n2,220
RKB3,16,n3,165
RKB3,16,n4,4034
RKB3,16,s,3840
RKB3,16,h1,410
RKB3,16,d2,240
RKB3,16,G2,380
RKB3,16,D2,240 H7
RKB3,16,D3,240 H7
RKB3,16,D4,245
RKB3,16,G4,380
RKB3,16,G5,550
RKB3,16,l2,410
RKB3,17,a,1620
RKB3,17,A1,550
RKB3,17,b,560
RKB3,17,B1,1170
RKB3,17,c1,735
RKB3,17,d6,600
RKB3,17,c,735
RKB3,17,D5,135
RKB3,17,e2,390
RKB3,17,e3,1145
RKB3,17,E,425
RKB3,17,g,42
RKB3,17,A2,555
RKB3,17,G6,1620
RKB3,17,h,550
RKB3,17,h2,560
RKB3,17,H,1170
RKB3,17,m2,735
RKB3,17,m3,600
RKB3,17,m1,735
RKB3,17,n1,135
RKB3,17,n2,390
RKB3,17,n3,1145
RKB3,17,n4,425
RKB3,17,s,42
RKB3,17,h1,555
RKB3,17,d2,250
RKB3,17,G2,415
RKB3,17,D2,250 H7
RKB3,17,D3,250 H7
RKB3,17,D4,260
RKB3,17,G4,415
RKB3,17,G5,600
RKB3,17,l2,410
RKB3,18,a,1680
RKB3,18,A1,550
RKB3,18,b,560
RKB3,18,B1,1170
RKB3,18,c1,855
RKB3,18,d6,600
RKB3,18,c,735
RKB3,18,D5,135
RKB3,18,e2,450
RKB3,18,e3,1205
RKB3,18,E,425
RKB3,18,g,42
RKB3,18,A2,555
RKB3,18,G6,1680
RKB3,18,h,550
RKB3,18,h2,560
RKB3,18,H,1170
RKB3,18,m2,855
RKB3,18,m3,600
RKB3,18,m1,735
RKB3,18,n1,135
RKB3,18,n2,450
RKB3,18,n3,1205
RKB3,18,n4,425
RKB3,18,s,42
RKB3,18,h1,555
RKB3,18,d2,270
RKB3,18,G2,415
RKB3,18,D2,275 H7
RKB3,18,D3,280 H7
RKB3,18,D4,285
RKB3,18,G4,415
RKB3,18,G5,600
RKB3,18,l2,470
