temp_c,ed_pct,f5
10,100,1.04
10,80,1.1
10,60,1.21
10,40,1.4
10,20,1.86
20,100,1.0
20,80,1.06
20,60,1.16
20,40,1.35
20,20,1.79
30,100,0.93
30,80,0.99
30,60,1.08
30,40,1.26
30,20,1.66
40,100,0.88
40,80,0.93
40,60,1.02
40,40,1.19
40,20,1.58
50,100,0.81
50,80,0.86
50,60,0.94
50,40,1.09
50,20,1.45
